央视频道,#genre#
CCTV1,http://60.13.52.236:65500/newlive/live/hls/1/live.m3u8$1080p
CCTV2,http://60.13.52.236:65500/newlive/live/hls/2/live.m3u8$576p
CCTV3,http://60.13.52.236:65500/newlive/live/hls/3/live.m3u8$1080p
CCTV4,http://60.13.52.236:65500/newlive/live/hls/4/live.m3u8$576p
CCTV5,http://60.13.52.236:65500/newlive/live/hls/5/live.m3u8$1080p
CCTV7,http://60.13.52.236:65500/newlive/live/hls/7/live.m3u8$576p
CCTV9,http://60.13.52.236:65500/newlive/live/hls/9/live.m3u8$576p
CCTV10,http://60.13.52.236:65500/newlive/live/hls/10/live.m3u8$576p
CCTV11,http://60.13.52.236:65500/newlive/live/hls/11/live.m3u8$576p
CCTV12,http://60.13.52.236:65500/newlive/live/hls/12/live.m3u8$576p
CCTV13,http://60.13.52.236:65500/newlive/live/hls/16/live.m3u8$576p
CCTV13,http://60.13.52.236:65500/newlive/live/hls/13/live.m3u8$576p
CCTV14,http://60.13.52.236:65500/newlive/live/hls/14/live.m3u8$576p
CCTV15,http://60.13.52.236:65500/newlive/live/hls/15/live.m3u8$576p
卫视频道,#genre#
重庆卫视,http://60.13.52.236:65500/newlive/live/hls/37/live.m3u8$576p
江苏卫视,http://60.13.52.236:65500/newlive/live/hls/20/live.m3u8$576p
浙江卫视,http://60.13.52.236:65500/newlive/live/hls/21/live.m3u8$1080p
东方卫视,http://60.13.52.236:65500/newlive/live/hls/18/live.m3u8$576p
深圳卫视,http://60.13.52.236:65500/newlive/live/hls/24/live.m3u8$576p
北京卫视,http://60.13.52.236:65500/newlive/live/hls/22/live.m3u8$576p
山东卫视,http://60.13.52.236:65500/newlive/live/hls/27/live.m3u8$576p
天津卫视,http://60.13.52.236:65500/newlive/live/hls/28/live.m3u8$576p
贵州卫视,http://60.13.52.236:65500/newlive/live/hls/31/live.m3u8$576p
四川卫视,http://60.13.52.236:65500/newlive/live/hls/36/live.m3u8$576p
云南卫视,http://60.13.52.236:65500/newlive/live/hls/43/live.m3u8$576p
广西卫视,http://60.13.52.236:65500/newlive/live/hls/42/live.m3u8$576p
黑龙江卫视,http://60.13.52.236:65500/newlive/live/hls/25/live.m3u8$576p
安徽卫视,http://60.13.52.236:65500/newlive/live/hls/33/live.m3u8$576p
山西卫视,http://60.13.52.236:65500/newlive/live/hls/47/live.m3u8$576p
江西卫视,http://60.13.52.236:65500/newlive/live/hls/48/live.m3u8$576p
江西卫视,http://60.13.52.236:65500/newlive/live/hls/30/live.m3u8$576p
湖北卫视,http://60.13.52.236:65500/newlive/live/hls/26/live.m3u8$576p
陕西卫视,http://60.13.52.236:65500/newlive/live/hls/38/live.m3u8$576p
东南卫视,http://60.13.52.236:65500/newlive/live/hls/35/live.m3u8$576p
吉林卫视,http://60.13.52.236:65500/newlive/live/hls/41/live.m3u8$576p
辽宁卫视,http://60.13.52.236:65500/newlive/live/hls/40/live.m3u8$576p
辽宁卫视,http://60.13.52.236:65500/newlive/live/hls/29/live.m3u8$576p
湖南卫视,http://60.13.52.236:65500/newlive/live/hls/19/live.m3u8$1080p
广东卫视,http://60.13.52.236:65500/newlive/live/hls/23/live.m3u8$576p
河南卫视,http://60.13.52.236:65500/newlive/live/hls/39/live.m3u8$576p
河北卫视,http://60.13.52.236:65500/newlive/live/hls/34/live.m3u8$576p
宁夏卫视,http://60.13.52.236:65500/newlive/live/hls/46/live.m3u8$576p
甘肃卫视,http://60.13.52.236:65500/newlive/live/hls/17/live.m3u8$576p
青海卫视,http://60.13.52.236:65500/newlive/live/hls/44/live.m3u8$576p
西藏卫视,http://60.13.52.236:65500/newlive/live/hls/45/live.m3u8$576p
未分类节目,#genre#
华数电影,http://60.13.52.236:65500/newlive/live/hls/6/live.m3u8$1080p
卡酷少儿,http://60.13.52.236:65500/newlive/live/hls/32/live.m3u8$576p
电影,http://60.13.52.236:65500/newlive/live/hls/8/live.m3u8$1080p
