央视频道,#genre#
CCTV1,http://221.226.51.220:50081/newlive/live/hls/1/live.m3u8$1080p
CCTV2,http://221.226.51.220:50081/newlive/live/hls/2/live.m3u8$1080p
CCTV3,http://221.226.51.220:50081/newlive/live/hls/3/live.m3u8$1080p
CCTV4,http://221.226.51.220:50081/newlive/live/hls/4/live.m3u8$576p
CCTV5,http://221.226.51.220:50081/newlive/live/hls/5/live.m3u8$576p
CCTV6,http://221.226.51.220:50081/newlive/live/hls/6/live.m3u8$576p
CCTV7,http://221.226.51.220:50081/newlive/live/hls/7/live.m3u8$1080p
CCTV8,http://221.226.51.220:50081/newlive/live/hls/8/live.m3u8$576p
CCTV9,http://221.226.51.220:50081/newlive/live/hls/9/live.m3u8$1080p
CCTV10,http://221.226.51.220:50081/newlive/live/hls/10/live.m3u8$576p
CCTV11,http://221.226.51.220:50081/newlive/live/hls/11/live.m3u8$1080p
CCTV12,http://221.226.51.220:50081/newlive/live/hls/12/live.m3u8$1080p
CCTV13,http://221.226.51.220:50081/newlive/live/hls/13/live.m3u8$1080p
CCTV14,http://221.226.51.220:50081/newlive/live/hls/14/live.m3u8$1080p
CCTV15,http://221.226.51.220:50081/newlive/live/hls/15/live.m3u8$1080p
中数传媒,#genre#
金鹰纪实,http://221.226.51.220:50081/newlive/live/hls/39/live.m3u8$1080p
卫视频道,#genre#
重庆卫视,http://221.226.51.220:50081/newlive/live/hls/28/live.m3u8$1080p
江苏卫视,http://221.226.51.220:50081/newlive/live/hls/18/live.m3u8$1080p
浙江卫视,http://221.226.51.220:50081/newlive/live/hls/27/live.m3u8$1080p
深圳卫视,http://221.226.51.220:50081/newlive/live/hls/32/live.m3u8$1080p
山东卫视,http://221.226.51.220:50081/newlive/live/hls/34/live.m3u8$1080p
天津卫视,http://221.226.51.220:50081/newlive/live/hls/26/live.m3u8$1080p
贵州卫视,http://221.226.51.220:50081/newlive/live/hls/35/live.m3u8$1080p
云南卫视,http://221.226.51.220:50081/newlive/live/hls/33/live.m3u8$1080p
广西卫视,http://221.226.51.220:50081/newlive/live/hls/25/live.m3u8$1080p
黑龙江卫视,http://221.226.51.220:50081/newlive/live/hls/31/live.m3u8$1080p
安徽卫视,http://221.226.51.220:50081/newlive/live/hls/36/live.m3u8$1080p
湖南卫视,http://221.226.51.220:50081/newlive/live/hls/29/live.m3u8$1080p
广东卫视,http://221.226.51.220:50081/newlive/live/hls/30/live.m3u8$1080p
河南卫视,http://221.226.51.220:50081/newlive/live/hls/37/live.m3u8$1080p
三沙卫视,http://221.226.51.220:50081/newlive/live/hls/38/live.m3u8$1080p
江苏节目,#genre#
江苏城市,http://221.226.51.220:50081/newlive/live/hls/19/live.m3u8$1080p
江苏影视,http://221.226.51.220:50081/newlive/live/hls/22/live.m3u8$1080p
江苏综艺,http://221.226.51.220:50081/newlive/live/hls/20/live.m3u8$1080p
江苏体育休闲,http://221.226.51.220:50081/newlive/live/hls/21/live.m3u8$1080p
南京影视,http://221.226.51.220:50081/newlive/live/hls/44/live.m3u8$576p
南京教科,http://221.226.51.220:50081/newlive/live/hls/43/live.m3u8$576p
南京智选假日酒店,http://221.226.51.220:50081/newlive/live/hls/179/live.m3u8$1080p
未分类节目,#genre#
40,http://221.226.51.220:50081/newlive/live/hls/40/live.m3u8
