央视频道,#genre#
CCTV1,http://183.249.78.44:10800/newlive/live/hls/2/live.m3u8$1080p
CCTV2,http://183.249.78.44:10800/newlive/live/hls/3/live.m3u8$576p
CCTV3,http://183.249.78.44:10800/newlive/live/hls/4/live.m3u8$576p
CCTV4,http://183.249.78.44:10800/newlive/live/hls/5/live.m3u8$576p
CCTV5,http://183.249.78.44:10800/newlive/live/hls/6/live.m3u8$1080p
CCTV5+,http://183.249.78.44:10800/newlive/live/hls/17/live.m3u8$1080p
CCTV6,http://183.249.78.44:10800/newlive/live/hls/7/live.m3u8$1080p
CCTV7,http://183.249.78.44:10800/newlive/live/hls/8/live.m3u8$576p
CCTV8,http://183.249.78.44:10800/newlive/live/hls/9/live.m3u8$576p
CCTV9,http://183.249.78.44:10800/newlive/live/hls/10/live.m3u8$1080p
CCTV10,http://183.249.78.44:10800/newlive/live/hls/11/live.m3u8$576p
CCTV11,http://183.249.78.44:10800/newlive/live/hls/12/live.m3u8$576p
CCTV12,http://183.249.78.44:10800/newlive/live/hls/13/live.m3u8$576p
CCTV13,http://183.249.78.44:10800/newlive/live/hls/14/live.m3u8$1080p
CCTV14,http://183.249.78.44:10800/newlive/live/hls/15/live.m3u8$576p
CGTN,http://183.249.78.44:10800/newlive/live/hls/18/live.m3u8$576p
CGTN西语,http://183.249.78.44:10800/newlive/live/hls/51/live.m3u8$576p
CGTN法语,http://183.249.78.44:10800/newlive/live/hls/52/live.m3u8$576p
卫视频道,#genre#
重庆卫视,http://183.249.78.44:10800/newlive/live/hls/25/live.m3u8$1080p
江苏卫视,http://183.249.78.44:10800/newlive/live/hls/23/live.m3u8$1080p
浙江卫视,http://183.249.78.44:10800/newlive/live/hls/19/live.m3u8$1080p
东方卫视,http://183.249.78.44:10800/newlive/live/hls/21/live.m3u8$1080p
深圳卫视,http://183.249.78.44:10800/newlive/live/hls/42/live.m3u8$1080p
北京卫视,http://183.249.78.44:10800/newlive/live/hls/24/live.m3u8$1080p
山东卫视,http://183.249.78.44:10800/newlive/live/hls/30/live.m3u8$1080p
天津卫视,http://183.249.78.44:10800/newlive/live/hls/33/live.m3u8$1080p
贵州卫视,http://183.249.78.44:10800/newlive/live/hls/26/live.m3u8$1080p
四川卫视,http://183.249.78.44:10800/newlive/live/hls/29/live.m3u8$1080p
云南卫视,http://183.249.78.44:10800/newlive/live/hls/34/live.m3u8$576p
黑龙江卫视,http://183.249.78.44:10800/newlive/live/hls/36/live.m3u8$1080p
安徽卫视,http://183.249.78.44:10800/newlive/live/hls/22/live.m3u8$1080p
山西卫视,http://183.249.78.44:10800/newlive/live/hls/49/live.m3u8$576p
江西卫视,http://183.249.78.44:10800/newlive/live/hls/41/live.m3u8$1080p
湖北卫视,http://183.249.78.44:10800/newlive/live/hls/39/live.m3u8$1080p
旅游卫视,http://183.249.78.44:10800/newlive/live/hls/37/live.m3u8$576p
陕西卫视,http://183.249.78.44:10800/newlive/live/hls/47/live.m3u8$576p
东南卫视,http://183.249.78.44:10800/newlive/live/hls/38/live.m3u8$1080p
吉林卫视,http://183.249.78.44:10800/newlive/live/hls/32/live.m3u8$576p
辽宁卫视,http://183.249.78.44:10800/newlive/live/hls/40/live.m3u8$1080p
内蒙古卫视,http://183.249.78.44:10800/newlive/live/hls/43/live.m3u8$576p
湖南卫视,http://183.249.78.44:10800/newlive/live/hls/20/live.m3u8$1080p
广东卫视,http://183.249.78.44:10800/newlive/live/hls/28/live.m3u8$1080p
河南卫视,http://183.249.78.44:10800/newlive/live/hls/27/live.m3u8$1080p
河北卫视,http://183.249.78.44:10800/newlive/live/hls/35/live.m3u8$1080p
宁夏卫视,http://183.249.78.44:10800/newlive/live/hls/50/live.m3u8$576p
青海卫视,http://183.249.78.44:10800/newlive/live/hls/45/live.m3u8$576p
西藏卫视,http://183.249.78.44:10800/newlive/live/hls/46/live.m3u8$576p
浙江节目,#genre#
浙江少儿,http://183.249.78.44:10800/newlive/live/hls/31/live.m3u8$1080p
地方频道,#genre#
CGTN,http://183.249.78.44:10800/newlive/live/hls/18/live.m3u8$576p
未分类节目,#genre#
希尔顿欢朋酒店,http://183.249.78.44:10800/newlive/live/hls/1/live.m3u8$720p
