央视频道,#genre#
CCTV16,http://219.147.245.238:25380/newlive/live/hls/58/live.m3u8$1080p
卫视频道,#genre#
重庆卫视,http://219.147.245.238:25380/newlive/live/hls/30/live.m3u8$1080p
江苏卫视,http://219.147.245.238:25380/newlive/live/hls/23/live.m3u8$1080p
浙江卫视,http://219.147.245.238:25380/newlive/live/hls/24/live.m3u8$1080p
东方卫视,http://219.147.245.238:25380/newlive/live/hls/21/live.m3u8$1080p
深圳卫视,http://219.147.245.238:25380/newlive/live/hls/25/live.m3u8$1080p
北京卫视,http://219.147.245.238:25380/newlive/live/hls/19/live.m3u8$1080p
山东卫视,http://219.147.245.238:25380/newlive/live/hls/32/live.m3u8$1080p
天津卫视,http://219.147.245.238:25380/newlive/live/hls/29/live.m3u8$1080p
四川卫视,http://219.147.245.238:25380/newlive/live/hls/39/live.m3u8$1080p
广西卫视,http://219.147.245.238:25380/newlive/live/hls/38/live.m3u8$576p
黑龙江卫视,http://219.147.245.238:25380/newlive/live/hls/18/live.m3u8$1080p
安徽卫视,http://219.147.245.238:25380/newlive/live/hls/36/live.m3u8$1080p
江西卫视,http://219.147.245.238:25380/newlive/live/hls/35/live.m3u8$1080p
湖北卫视,http://219.147.245.238:25380/newlive/live/hls/34/live.m3u8$1080p
东南卫视,http://219.147.245.238:25380/newlive/live/hls/37/live.m3u8$1080p
吉林卫视,http://219.147.245.238:25380/newlive/live/hls/27/live.m3u8$1080p
辽宁卫视,http://219.147.245.238:25380/newlive/live/hls/28/live.m3u8$576p
湖南卫视,http://219.147.245.238:25380/newlive/live/hls/22/live.m3u8$1080p
广东卫视,http://219.147.245.238:25380/newlive/live/hls/26/live.m3u8$1080p
河南卫视,http://219.147.245.238:25380/newlive/live/hls/33/live.m3u8$1080p
河北卫视,http://219.147.245.238:25380/newlive/live/hls/31/live.m3u8$1080p
北京节目,#genre#
北京纪实科教,http://219.147.245.238:25380/newlive/live/hls/20/live.m3u8$1080p
